"X" "Y"
"214" 695942.26 5078348.46
"215" 695942.08 5078349.07
"216" 695941.39 5078352.91
"217" 695940.69 5078355.38
"218" 695940.02 5078356.49
"219" 695940.26 5078357.1
"220" 695941.56 5078354.41
"221" 695941.78 5078353.67
"222" 695942.96 5078351
"223" 695943.06 5078347.15
"224" 695943.12 5078346.92
"225" 695944.58 5078343.94
"226" 695945.07 5078340.31
"227" 695945.32 5078339.46
"228" 695946.57 5078337.05
"229" 695946.27 5078336.13
"230" 695947.93 5078333.99
"231" 695947.79 5078332.83
"232" 695947.52 5078331.92
"233" 695947.63 5078334.99
"234" 695947.55 5078335.27
"235" 695946.18 5078338.46
"236" 695946.02 5078339.02
"237" 695945.39 5078341.17
"238" 695945.95 5078342.49
"239" 695944.93 5078344.36
"240" 695944.98 5078345.87
"241" 695943.2 5078348.71
"242" 695943.29 5078349.94
"243" 695942.9 5078351.24
"244" 695942.66 5078352.06
"245" 695941.32 5078355.25
"246" 695940.68 5078359
"247" 695940.61 5078359.28
"248" 695941.95 5078357.96
"249" 695941.49 5078356.37
"250" 695942.69 5078353.78
"251" 695943.98 5078350.71
"252" 695944.1 5078347.17
"253" 695944.91 5078346.16
"254" 695945.04 5078343.95
"255" 695946.06 5078340.44
"256" 695947.64 5078336.66
"257" 695948.45 5078333.81
"258" 695948.74 5078332.75
"259" 695948.54 5078331.94
"260" 695948.68 5078334.61
"261" 695948.52 5078335.17
"262" 695947.97 5078337.09
"263" 695947.19 5078338.27
"264" 695946.1 5078341.98
"265" 695946.9 5078342.74
"266" 695945.86 5078344.28
"267" 695945.52 5078345.52
"268" 695944.59 5078348.75
"269" 695944.28 5078349.73
"270" 695943.6 5078351.98
"271" 695943.45 5078352.53
"272" 695942.61 5078354.08
"273" 695942.31 5078355.17
"274" 695941.66 5078358.86
"275" 695941.47 5078359.5
"276" 695942.57 5078357.88
"277" 695942.98 5078356.31
"278" 695943.01 5078354.1
"279" 695943.87 5078353.17
"280" 695944.19 5078350
"281" 695945.93 5078347.16
"282" 695945.92 5078346.21
"283" 695946.82 5078343.02
"284" 695947.13 5078340.04
"285" 695947.21 5078339.75
"286" 695948.83 5078336.15
"287" 695949.48 5078333.86
"288" 695949.38 5078332.25
"289" 695949.45 5078331.99
"290" 695950.78 5078332.62
"291" 695949.49 5078334.88
"292" 695949.95 5078335.44
"293" 695948.57 5078337.06
"294" 695948.31 5078338.02
"295" 695948.93 5078339.17
"296" 695947.47 5078341.91
"297" 695947.2 5078342.75
"298" 695946.74 5078344.32
"299" 695946.97 5078345.7
"300" 695945.2 5078348.65
"301" 695945.2 5078349.62
"302" 695944.47 5078351.09
"303" 695944.18 5078352.12
"304" 695943.52 5078355.36
"305" 695943.75 5078356.84
"306" 695942.22 5078359
"307" 695942.01 5078359.75
"308" 695941.93 5078360.02
"309" 695942.78 5078360.25
"310" 695944.68 5078353.61
